,precision,recall,f1-score,support
0,0.875,0.6363636363636364,0.7368421052631579,33.0
1,0.6153846153846154,0.5517241379310345,0.5818181818181818,29.0
2,0.4482758620689655,0.65,0.5306122448979592,20.0
3,0.6086956521739131,0.3888888888888889,0.4745762711864407,36.0
4,0.391304347826087,0.8709677419354839,0.54,31.0
5,0.7894736842105263,0.5769230769230769,0.6666666666666666,26.0
6,0.7142857142857143,0.625,0.6666666666666666,32.0
7,0.7777777777777778,0.4375,0.56,32.0
8,0.7407407407407407,0.6060606060606061,0.6666666666666666,33.0
9,0.6216216216216216,0.8214285714285714,0.7076923076923077,28.0
accuracy,0.61,0.61,0.61,0.61
macro avg,0.6582560016089962,0.6164856659531298,0.6131541110858046,300.0
weighted avg,0.6661744891125269,0.61,0.613425195630446,300.0
